,Country,Job Title,Rural,Quantity,Percentage
30,France,Data Entry Machine Operator,Urban,11,0.11%
37,France,Data Modeling Specialist,Urban,81,0.84%
52,France,Data Storage Specialist,Urban,83,0.86%
64,France,Data Security Analyst,Urban,77,0.80%
100,France,Databases Software Consultant,Urban,44,0.46%
108,France,Data Recovery Planner,Urban,13,0.13%
113,France,Data Security Administrator,Urban,67,0.69%
129,France,Oracle Database Administrator (Oracle DBA),Rural,78,0.81%
134,France,Oracle Database Administrator (Oracle DBA),Urban,78,0.81%
157,France,Director of Data Operations,Urban,78,0.81%
163,France,Database Modeler,Urban,64,0.66%
215,France,Database Modeler,Urban,64,0.66%
243,France,Clinical Trials Data Coordinator,Urban,5,0.05%
252,France,Database Coordinator,Rural,81,0.84%
268,France,Data Warehouse Analyst,Urban,69,0.72%
270,France,Automatic Data Processing Planner,Urban,78,0.81%
276,France,Electronic Data Interchange System Developer (EDI System Developer),Urban,60,0.62%
279,France,Data Warehouse Analyst,Urban,69,0.72%
285,France,Database Manager,Urban,78,0.81%
293,France,Data Scientist,Urban,67,0.69%
323,France,Head of Information Systems and Data Processing,Urban,71,0.74%
328,France,Data Operations Director,Urban,38,0.39%
330,France,Database Marketing Analyst,Urban,61,0.63%
333,France,Data Management Associate,Rural,72,0.75%
344,France,Data Management Associate,Urban,72,0.75%
361,France,Database Designer,Urban,64,0.66%
362,France,Data Collection Technician,Urban,19,0.20%
372,France,Data Scientist,Urban,67,0.69%
378,France,Database Design Analyst,Urban,58,0.60%
395,France,Data Modeling Specialist,Urban,81,0.84%
397,France,Database Modeler,Urban,64,0.66%
401,France,Data Processing Auditor,Rural,67,0.69%
403,France,Data Base Design Analyst,Urban,58,0.60%
412,France,Databases Software Consultant,Urban,44,0.46%
430,France,Data Scientist,Urban,67,0.69%
432,France,Data Processing Manager,Urban,73,0.76%
461,France,Data Miner,Urban,72,0.75%
463,France,Data Processing Manager,Urban,73,0.76%
485,France,Automatic Data Processing Systems Security Specialist (ADP Systems Security),Urban,85,0.88%
487,France,Maintenance Data Analyst,Urban,9,0.09%
489,France,Database Architect,Urban,72,0.75%
492,France,Data Communications Software Consultant,Urban,73,0.76%
500,France,Database Development and Administration Project Manager,Urban,75,0.78%
506,France,Data Warehouse Analyst,Urban,69,0.72%
515,France,Data Officer,Urban,101,1.05%
518,France,Data Base Design Analyst,Urban,58,0.60%
575,France,Electronic Data Processing Auditor (EDP Auditor),Urban,65,0.67%
602,France,Data Miner,Urban,72,0.75%
604,France,Database Administration Associate,Rural,73,0.76%
614,France,Database Administration Project Manager,Urban,13,0.13%
628,France,Customer Data Technician,Urban,14,0.15%
641,France,Data Security Administrator,Urban,67,0.69%
643,France,Database Marketing Analyst,Urban,61,0.63%
661,France,Data Coordinator,Urban,88,0.91%
666,France,Data Communications Analyst,Urban,69,0.72%
678,France,Head of Information Systems and Data Processing,Urban,71,0.74%
679,France,Data Coordinator,Urban,88,0.91%
714,France,Database Architect,Urban,72,0.75%
722,France,Database Design Analyst,Urban,58,0.60%
725,France,Database Tester,Urban,77,0.80%
736,France,Database Architect,Urban,72,0.75%
754,France,Database Modeler,Urban,64,0.66%
759,France,Data Processing Systems Analyst,Urban,76,0.79%
764,France,Electronic Data Processing Auditor (EDP Auditor),Urban,65,0.67%
774,France,Data Base Design Analyst,Urban,58,0.60%
794,France,Data Storage Specialist,Urban,83,0.86%
862,France,Data Warehouse Specialist,Urban,81,0.84%
863,France,Data Communications Software Consultant,Urban,73,0.76%
869,France,Database Security Expert,Urban,62,0.64%
874,France,Data Management Associate,Urban,72,0.75%
876,France,Data Architect,Urban,88,0.91%
896,France,Database Marketing Analyst,Urban,61,0.63%
899,France,Automatic Data Processing Systems Security Specialist (ADP Systems Security),Rural,85,0.88%
901,France,Database Engineer,Urban,77,0.80%
912,France,Database Modeler,Urban,64,0.66%
915,France,Data Warehousing Engineer,Urban,59,0.61%
916,France,Log Data Technician,Urban,12,0.12%
919,France,Data Recovery Planner,Urban,13,0.13%
920,France,Head of Information Systems and Data Processing,Urban,71,0.74%
935,France,Log Data Technician,Urban,12,0.12%
943,France,Clinical Data Associate,Urban,17,0.18%
949,France,Geographic Information Systems Data Specialist (GIS Data Specialist),Urban,87,0.90%
952,France,Data Security Analyst,Urban,77,0.80%
975,France,Database Programmer,Urban,14,0.15%
1007,France,Electronic Data Interchange System Developer (EDI System Developer),Urban,60,0.62%
1015,France,Clinical Data Management Associate Director,Urban,12,0.12%
1017,France,Database Modeler,Rural,64,0.66%
1022,France,Data Processing Auditor,Urban,67,0.69%
1025,France,Data Processing Manager,Urban,73,0.76%
1029,France,Database Security Administrator,Rural,71,0.74%
1035,France,Data Collection Technician,Urban,19,0.20%
1064,France,Data Processing Auditor,Urban,67,0.69%
1074,France,Data Warehousing Manager,Rural,61,0.63%
1082,France,Data Miner,Urban,72,0.75%
1090,France,SCADA Operator (Supervisory Control and Data Acquisition Operator),Urban,12,0.12%
1098,France,Data Management Information Technology Specialist,Urban,61,0.63%
1105,France,Internet Database Specialist,Urban,72,0.75%
1109,France,Data Warehouse Analyst,Urban,69,0.72%
1147,France,Data Processing Systems Analyst,Urban,76,0.79%
1161,France,Data Security Administrator,Urban,67,0.69%
1188,France,Database Consultant,Rural,84,0.87%
1190,France,Data Warehousing Engineer,Urban,59,0.61%
1208,France,Database Designer,Urban,64,0.66%
1211,France,Data Architect,Urban,88,0.91%
1212,France,Head of Information Systems and Data Processing,Urban,71,0.74%
1216,France,Head of Information Systems and Data Processing,Urban,71,0.74%
1227,France,Clinical Trials Data Coordinator,Urban,5,0.05%
1238,France,Clinical Data Analyst,Urban,9,0.09%
1242,France,Director of Data Operations,Urban,78,0.81%
1250,France,Database Security Administrator,Urban,71,0.74%
1262,France,Data Communications Software Consultant,Urban,73,0.76%
1269,France,Log Data Technician,Rural,12,0.12%
1292,France,Database Marketing Analyst,Urban,61,0.63%
1294,France,Database Consultant,Rural,84,0.87%
1311,France,Automatic Data Processing Planner (ADP Planner),Urban,77,0.80%
1325,France,Data Modeling Specialist,Urban,81,0.84%
1348,France,Database Software Technician,Rural,76,0.79%
1367,France,Database Coordinator,Urban,81,0.84%
1372,France,Analytical Data Miner,Urban,10,0.10%
1379,France,Reference Data Expert,Rural,9,0.09%
1385,France,Data Entry Representative,Urban,17,0.18%
1388,France,Data Management Associate,Rural,72,0.75%
1415,France,Clinical Data Management Manager (CDM Manager),Urban,17,0.18%
1440,France,Clinical Data Manager,Urban,13,0.13%
1453,France,Database Manager,Urban,78,0.81%
1457,France,Data Entry Clerk,Urban,10,0.10%
1464,France,Data Modeling Specialist,Rural,81,0.84%
1483,France,Business Database Analyst,Rural,12,0.12%
1522,France,Database Development and Administration Project Manager,Urban,75,0.78%
1545,France,Data Security Administrator,Urban,67,0.69%
1550,France,Automatic Data Processing Systems Security Specialist (ADP Systems Security),Urban,85,0.88%
1555,France,Data Coordinator,Urban,88,0.91%
1598,France,Data Warehouse Analyst,Urban,69,0.72%
1616,France,Automatic Data Processing Customer Liaison (ADP Customer Liaison),Urban,88,0.91%
1632,France,Data Miner,Urban,72,0.75%
1645,France,Data Coordinator,Rural,88,0.91%
1690,France,Data Storage Specialist,Urban,83,0.86%
1699,France,"Engineer, System Electronic Data Processing (Engineer, System EDP)",Urban,61,0.63%
1728,France,Data Communications Software Consultant,Urban,73,0.76%
1734,France,Geographic Information Systems Data Administrator (GIS Data Administrator),Urban,69,0.72%
1739,France,Database Designer,Urban,64,0.66%
1741,France,Data Security Analyst,Urban,77,0.80%
1742,France,SCADA Technician (Supervisory Control and Data Acquisition Technician),Urban,13,0.13%
1747,France,Geographic Information Systems Data Administrator (GIS Data Administrator),Urban,69,0.72%
1748,France,Data Warehouse Specialist,Urban,81,0.84%
