,Country,Job Title,Rural,Quantity,Percentage
7,Spain,Head of Information Systems and Data Processing,Urban,71,0.74%
10,Spain,Data Management Associate,Urban,72,0.75%
11,Spain,Database Development and Administration Project Manager,Urban,75,0.78%
16,Spain,Naval Tactical Data System--Combat Information Center Officer,Urban,17,0.18%
39,Spain,Database Development and Administration Project Manager,Urban,75,0.78%
74,Spain,Automatic Data Processing Systems Security Specialist (ADP Systems Security),Urban,85,0.88%
80,Spain,Database Management System Specialist (DBMS Specialist),Urban,76,0.79%
115,Spain,Database Coordinator,Urban,81,0.84%
139,Spain,Data Entry Machine Operator,Urban,11,0.11%
141,Spain,Automatic Data Processing Planner,Urban,78,0.81%
147,Spain,Database Consultant,Urban,84,0.87%
153,Spain,Data Processing Systems Analyst,Urban,76,0.79%
160,Spain,SQL Database Administrator,Urban,65,0.67%
169,Spain,Database Marketing Analyst,Urban,61,0.63%
177,Spain,Database Development and Administration Project Manager,Urban,75,0.78%
179,Spain,Data Architect,Urban,88,0.91%
224,Spain,Database Architect,Urban,72,0.75%
242,Spain,Automatic Data Processing Systems Security Specialist (ADP Systems Security),Urban,85,0.88%
250,Spain,Geographic Information Systems Database Administrator (GIS Database Administrator),Urban,73,0.76%
254,Spain,Automatic Data Processing Planner (ADP Planner),Urban,77,0.80%
255,Spain,Data Processing Auxiliary Equipment Operator,Urban,8,0.08%
263,Spain,Data Systems Manager,Urban,69,0.72%
274,Spain,Data Systems Manager,Urban,69,0.72%
291,Spain,Data Collector,Rural,9,0.09%
312,Spain,Geographic Information Systems Database Administrator (GIS Database Administrator),Urban,73,0.76%
316,Spain,Database Manager,Urban,78,0.81%
445,Spain,Database Engineer,Urban,77,0.80%
453,Spain,LiDAR Data Analyst,Urban,11,0.11%
481,Spain,Database Management System Specialist (DBMS Specialist),Urban,76,0.79%
512,Spain,Micro Computer Data Processor,Urban,15,0.16%
522,Spain,Flight Data Technician,Urban,14,0.15%
531,Spain,Data Analyst,Urban,8,0.08%
542,Spain,Weight in Motion Field Data Collection Technician,Urban,10,0.10%
565,Spain,Automatic Data Processing Planner,Urban,78,0.81%
633,Spain,Head of Information Systems and Data Processing,Urban,71,0.74%
635,Spain,Geographic Information Systems Data Manager (GIS Data Manager),Urban,64,0.66%
639,Spain,Data Security Administrator,Urban,67,0.69%
655,Spain,Data Base Design Analyst,Urban,58,0.60%
674,Spain,Database Administration Manager,Urban,65,0.67%
681,Spain,SQL Database Administrator,Urban,65,0.67%
694,Spain,Database Coordinator,Urban,81,0.84%
709,Spain,Data Warehouse Analyst,Urban,69,0.72%
711,Spain,Electronic Data Interchange System Developer (EDI System Developer),Urban,60,0.62%
717,Spain,Data Processing Systems Project Planner,Urban,65,0.67%
732,Spain,Data Architect,Urban,88,0.91%
744,Spain,Data Coordinator,Urban,88,0.91%
753,Spain,Data Officer,Urban,101,1.05%
757,Spain,Database Marketing Analyst,Urban,61,0.63%
766,Spain,Database Engineer,Urban,77,0.80%
770,Spain,"Engineer, System Electronic Data Processing (Engineer, System EDP)",Urban,61,0.63%
819,Spain,Data Security Analyst,Urban,77,0.80%
822,Spain,SCADA Technician (Supervisory Control and Data Acquisition Technician),Urban,13,0.13%
861,Spain,Database Development Project Manager,Urban,11,0.11%
868,Spain,Database Management System Specialist (DBMS Specialist),Urban,76,0.79%
877,Spain,Database Consultant,Urban,84,0.87%
884,Spain,Database Security Expert,Urban,62,0.64%
910,Spain,Data Communications Analyst,Urban,69,0.72%
914,Spain,Data Architect,Urban,88,0.91%
924,Spain,Data Management Information Technology Specialist,Urban,61,0.63%
992,Spain,Data Warehouse Architect,Urban,77,0.80%
1012,Spain,Data Base Design Analyst,Urban,58,0.60%
1023,Spain,Data Miner,Urban,72,0.75%
1036,Spain,Oracle Database Administrator (Oracle DBA),Urban,78,0.81%
1048,Spain,Micro Computer Data Processor,Urban,15,0.16%
1073,Spain,Data Warehouse Architect,Urban,77,0.80%
1112,Spain,Data Processing Systems Project Planner,Urban,65,0.67%
1114,Spain,"Engineer, System Electronic Data Processing (Engineer, System EDP)",Urban,61,0.63%
1117,Spain,Data Architect,Urban,88,0.91%
1126,Spain,Database Coordinator,Urban,81,0.84%
1131,Spain,Computer or Data Processing Systems Consultant,Urban,88,0.91%
1159,Spain,Medical Data Analyst,Urban,13,0.13%
1177,Spain,Data Scientist,Urban,67,0.69%
1178,Spain,Data Management Information Technology Specialist,Urban,61,0.63%
1179,Spain,Director of Data Operations,Urban,78,0.81%
1189,Spain,Head of Information Systems and Data Processing,Urban,71,0.74%
1226,Spain,Data Security Administrator,Urban,67,0.69%
1237,Spain,Database Coordinator,Urban,81,0.84%
1255,Spain,Geographic Information Systems Data Manager (GIS Data Manager),Urban,64,0.66%
1258,Spain,Data Warehousing Manager,Urban,61,0.63%
1264,Spain,Automatic Data Processing Planner,Urban,78,0.81%
1280,Spain,Geographic Information Systems Data Manager (GIS Data Manager),Urban,64,0.66%
1298,Spain,SQL Database Administrator,Urban,65,0.67%
1317,Spain,Director of Data Operations,Urban,78,0.81%
1335,Spain,Database Development and Administration Project Manager,Urban,75,0.78%
1349,Spain,Automatic Data Processing Planner,Urban,78,0.81%
1369,Spain,Data Reduction Technician,Urban,15,0.16%
1397,Spain,Database Architect,Urban,72,0.75%
1419,Spain,Database Administration Associate,Urban,73,0.76%
1434,Spain,Database Development and Administration Project Manager,Urban,75,0.78%
