,Country,Job Title,Rural,Quantity,Percentage
2876,Great Britain,Data Center Manager,Urban,4,4.15%
4624,Great Britain,Database Technician,Urban,4,4.15%
5058,Germany,Data Center Manager,Rural,4,4.15%
5261,Poland,Database Technician,Urban,4,4.15%
6905,Spain,Database Technician,Urban,4,4.15%
8050,Bulgaria,Data Center Manager,Urban,4,4.15%
8428,Germany,Data Center Manager,Urban,4,4.15%
8860,Romania,Database Technician,Urban,4,4.15%
49,Slovakia,Data Reviewer,Urban,5,5.18%
243,France,Clinical Trials Data Coordinator,Urban,5,5.18%
965,Poland,Data Reviewer,Urban,5,5.18%
1227,France,Clinical Trials Data Coordinator,Urban,5,5.18%
2506,France,Clinical Trials Data Coordinator,Urban,5,5.18%
4105,Cyprus,Clinical Trials Data Coordinator,Urban,5,5.18%
5222,Germany,Clinical Trials Data Coordinator,Urban,5,5.18%
5485,Great Britain,Data Reviewer,Urban,5,5.18%
6469,Spain,Data Reviewer,Urban,5,5.18%
6757,Great Britain,Data Reviewer,Urban,5,5.18%
1771,Great Britain,Data Processing Mechanic,Urban,6,6.22%
4224,Ireland,Data Processing Mechanic,Urban,6,6.22%
5650,Czechia,Data Processing Mechanic,Urban,6,6.22%
6417,Finland,Data Processing Mechanic,Urban,6,6.22%
6885,Spain,Data Processing Mechanic,Urban,6,6.22%
7548,Netherlands,Data Processing Mechanic,Urban,6,6.22%
563,Greece,Data Examination Clerk,Rural,7,7.25%
749,Slovakia,Data Capture Specialist,Urban,7,7.25%
871,Germany,Data Abstractor,Urban,7,7.25%
1115,Greece,Data Abstractor,Urban,7,7.25%
1121,Germany,Data Processing Clerk,Rural,7,7.25%
1291,Italy,Data Examination Clerk,Urban,7,7.25%
1937,Germany,Data Abstractor,Urban,7,7.25%
1952,Spain,Data Processing Clerk,Urban,7,7.25%
1958,Portugal,Data Management Manager,Urban,7,7.25%
2531,Great Britain,Data Examination Clerk,Urban,7,7.25%
3402,Great Britain,Data Examination Clerk,Rural,7,7.25%
3652,Netherlands,Data Processing Control Clerk,Urban,7,7.25%
3798,Poland,Data Examination Clerk,Urban,7,7.25%
4042,Great Britain,Data Abstractor,Urban,7,7.25%
4228,Portugal,Data Processing Clerk,Urban,7,7.25%
4382,Great Britain,Data Processing Control Clerk,Urban,7,7.25%
4410,Poland,Data Processing Control Clerk,Urban,7,7.25%
4691,Hungary,Data Capture Specialist,Urban,7,7.25%
4863,Latvia,Data Processing Clerk,Urban,7,7.25%
4953,Italy,Data Processing Control Clerk,Urban,7,7.25%
5392,Spain,Data Examination Clerk,Urban,7,7.25%
5477,Romania,Data Abstractor,Urban,7,7.25%
5717,France,Data Management Manager,Urban,7,7.25%
5981,Poland,Data Processing Clerk,Urban,7,7.25%
6304,Netherlands,Data Examination Clerk,Rural,7,7.25%
6405,France,Data Capture Specialist,Urban,7,7.25%
6518,Poland,Data Capture Specialist,Urban,7,7.25%
